City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,lompoc,34.6391,-120.4579,13.9,87,100,3.09,US,1713583963
143,tokoroa,-38.2333,175.8667,12.02,99,100,1.69,NZ,1713584160
144,hermanus,-34.4187,19.2345,16.26,88,100,0.98,ZA,1713584160
145,ambikapur,23.1167,83.2,36.43,15,1,5.02,IN,1713584161
146,akureyri,65.6835,-18.0878,5.96,65,40,10.29,IS,1713584162
147,coahuayana de hidalgo,18.7,-103.6583,20.34,83,0,1.09,MX,1713584162
148,yeraliyev,43.2,51.65,22.5,34,1,5.37,KZ,1713584163
149,tazacorte,28.629,-17.9293,18.54,80,0,3.09,ES,1713584163
150,qarauyl,48.9451,79.255,13.09,46,17,7.7,KZ,1713584164
151,carnarvon,-24.8667,113.6333,30.3,30,0,5.24,AU,1713584164
152,margaret river,-33.95,115.0667,24.86,37,81,4.25,AU,1713584165
153,blackwater,-23.5833,148.8833,17.48,83,100,3.74,AU,1713584166
154,vorgashor,67.5833,63.95,-19.0,92,11,4.02,RU,1713584166
155,luoyang,34.6836,112.4536,23.3,37,58,2.81,CN,1713584167
156,hasaki,35.7333,140.8333,25.16,43,100,2.68,JP,1713584167
157,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.03,GF,1713584168
158,humberto de campos,-2.5983,-43.4611,24.39,95,99,0.34,BR,1713584168
159,ilulissat,69.2167,-51.1,-6.99,79,100,2.57,GL,1713584169
160,san antonio de pale,-1.4014,5.6325,28.26,83,99,3.91,GQ,1713584169
161,khabarovsk,48.4808,135.0928,6.89,81,75,3.0,RU,1713584170
162,lerwick,60.1545,-1.1494,3.0,60,100,5.61,GB,1713584170
163,bandar abbas,27.1865,56.2808,23.99,83,20,2.06,IR,1713584171
164,tharyarwady,17.65,95.8,36.07,35,24,3.57,MM,1713584171
165,souillac,-20.5167,57.5167,23.53,100,75,1.54,MU,1713584172
166,baise city,23.8997,106.6133,32.41,57,55,1.6,CN,1713584172
167,iqaluit,63.7506,-68.5145,-14.15,72,0,4.12,CA,1713584173
168,al bardiyah,31.7561,25.0865,15.67,72,84,7.08,LY,1713584173
169,anadyr,64.75,177.4833,-6.72,73,20,2.0,RU,1713584174
170,mhangura,-16.8939,30.1683,17.25,87,53,0.99,ZW,1713584174
171,xuanzhou,30.9525,118.7553,18.9,81,100,4.35,CN,1713584175
172,broken hill,-31.95,141.4333,19.99,33,0,8.51,AU,1713584169
173,constantia,44.1833,28.65,7.61,81,100,6.66,RO,1713584176
174,susaki,33.3667,133.2833,21.04,60,100,1.94,JP,1713584177
175,stanley,54.868,-1.6985,0.95,84,17,2.32,GB,1713584177
176,shingu,33.7333,135.9833,23.46,45,100,3.32,JP,1713584178
177,ad dilam,23.9915,47.1627,26.71,21,4,3.1,SA,1713584178
178,as sulayyil,20.4607,45.5779,24.14,24,8,3.38,SA,1713584179
179,northam,51.0333,-4.2167,6.45,88,13,3.35,GB,1713584179
180,newman,37.3138,-121.0208,21.13,75,0,0.45,US,1713584180
181,kainantu,-6.2887,145.8655,24.56,60,100,2.97,PG,1713584180
182,weno,7.4515,151.8468,30.97,89,100,3.6,FM,1713584181
183,bagrationovsk,54.3871,20.6437,3.64,99,100,3.85,RU,1713584181
184,keflavik,64.0049,-22.5624,7.95,100,100,10.29,IS,1713584182
185,laguna,38.421,-121.4238,21.28,70,0,4.63,US,1713584182
186,luis correia,-2.8792,-41.6669,24.85,92,100,1.31,BR,1713584183
187,taungoo,18.9333,96.4333,36.06,36,1,3.62,MM,1713584183
188,papatowai,-46.5619,169.4708,12.81,68,88,4.16,NZ,1713584184
189,longyearbyen,78.2186,15.6401,-1.09,64,75,10.29,SJ,1713584185
190,edson,53.5835,-116.4356,3.08,28,0,3.6,CA,1713584155
191,kalaleh,37.3807,55.4916,13.78,77,0,0.0,IR,1713584185
192,buala,-8.145,159.5921,29.14,78,81,1.17,SB,1713584186
193,nitra,48.3076,18.0845,5.08,94,100,3.15,SK,1713584186
194,kuta,-8.7233,115.1723,30.97,79,20,8.94,ID,1713584187
195,zaranj,30.9667,61.8833,18.98,27,0,3.01,AF,1713584188
196,pergamos,35.0417,33.7083,17.82,80,43,0.99,GB,1713584188
